ueid,session_id,avgcqi,avgmcs,avgri,avg_rv0_tx,tbler,session_rca
17017,90385,12.46,13.84,2.75,7.75,0.0,Good UE
17017,90010,13.95,13.63,2.37,8.0,0.0,Good UE
17204,361959,13.47,8.69,2.2,8.0,2.63,Good UE
17022,126160,13.41,13.6,2.87,7.78,0.0,Good UE
17018,198531,9.33,24.08,2.51,6.0,0.0,Good UE
17022,125860,12.44,13.93,2.25,7.44,0.0,Good UE
17023,234456,9.92,4.04,2.46,9.0,0.0,MCS Limitation
17205,232732,13.34,23.17,3.03,8.5,0.0,Good UE
17205,232582,11.93,18.37,2.45,8.0,0.0,Good UE
17022,125410,12.86,10.98,2.28,6.78,0.0,Good UE
17023,234081,8.55,1.78,3.41,4.0,0.0,MCS Limitation
17018,197556,12.84,13.42,3.15,8.67,0.0,Good UE
17164,341559,8.41,3.12,2.12,7.0,0.0,MCS Limitation
17022,125110,11.52,14.21,2.69,8.22,0.0,Good UE
17019,323709,13.04,12.45,2.13,7.0,0.0,Good UE
17021,214356,10.57,12.01,2.62,8.44,0.0,Good UE
17022,124735,12.15,9.7,2.73,7.56,0.0,Good UE
17206,197033,13.76,21.49,2.07,8.33,0.0,Good UE
17019,323484,8.77,19.01,2.82,8.0,0.0,Good UE
17025,214057,10.84,17.54,3.36,9.0,0.0,Good UE
17164,339909,8.84,2.74,3.32,4.0,0.0,MCS Limitation
17164,339834,11.14,4.98,3.97,9.0,0.0,MCS Limitation
17205,229957,13.21,12.36,2.78,7.0,0.0,Good UE
17017,86710,13.34,11.51,2.53,7.0,0.0,Good UE
17018,195381,12.86,16.7,2.39,8.33,0.0,Good UE
17018,195156,13.5,15.55,2.36,7.67,0.0,Good UE
17021,212106,10.1,14.0,2.81,7.56,0.0,Good UE
17023,228681,12.94,2.31,1.08,9.0,0.0,MCS Limitation
17022,121060,13.25,16.67,2.03,7.89,0.0,Good UE
17023,228531,13.49,4.21,1.31,9.0,0.0,MCS Limitation
17204,355509,13.83,1.75,2.72,7.0,2.63,Good UE
17023,228456,9.82,4.01,1.39,5.0,0.0,MCS Limitation
17023,228306,10.07,2.35,1.88,4.0,0.0,MCS Limitation
17025,210682,11.39,7.61,1.27,6.5,0.0,Good UE
17206,192533,12.97,18.59,3.13,7.33,0.0,Good UE
17209,245706,10.99,13.29,2.61,6.0,0.93,Good UE
17025,208432,11.42,12.37,3.55,8.0,0.0,Good UE
17025,208357,13.14,8.92,1.77,8.5,0.0,Good UE
17019,316809,12.96,16.64,2.34,8.5,0.0,Good UE
17021,207231,11.12,14.45,2.32,8.22,0.0,Good UE
17017,82660,13.94,8.74,2.04,8.25,0.0,Good UE
